PCB Serial Number,Last Programmed,Comment,Files used
TEST_UV,04-04-2023 09:17:23,"04-04-2023 09:17:23 : TESTING UV with Error as same but FoV reduced 
03-04-2023 16:53:32 : 
03-04-2023 16:53:27 : ","04-04-2023 09:17:23 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\App\PYRAMID\Pyramid_Rev4_1_00_4.elf
03-04-2023 16:53:32 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\App\PYRAMID\Pyramid_Rev4_1_00_5.elf
03-04-2023 16:53:27 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\App\PYRAMID\Pyramid_Rev4_1_00_5.elf"
test_connector,11-04-2023 11:27:40,11-04-2023 11:27:40 : ,11-04-2023 11:27:40 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\App\PYRAMID\Pyramid_Rev4_1_00_4.elf
test_new_board,26-06-2023 12:12:43,26-06-2023 12:12:43 : ,26-06-2023 12:12:43 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\App\PYRAMID\Pyramid_Rev4_1_00_3.elf
test,06-07-2023 10:59:39,06-07-2023 10:59:39 : ,06-07-2023 10:59:39 : C:\Users\skatore\Downloads\Krishna\STM_Programmer_APP\App\PYRAMID\Pyramid_Rev4_1_00_4.elf
0000001,28-09-2023 11:22:35,28-09-2023 11:22:35 : ,28-09-2023 11:22:35 : C:/Users/skatore/STM32CubeIDE/workspace_Pyramid/Pyramid_Rev1/Release/Pyramid_Rev4_9_99_9.elf
000001,28-09-2023 11:42:35,28-09-2023 11:42:35 : ,28-09-2023 11:42:35 : C:/Users/skatore/STM32CubeIDE/workspace_Pyramid/Pyramid_Rev1/Release/Pyramid_Rev4_9_99_9.elf
